payment_label,trip_count,total_revenue,avg_tip_pct,share_pct
Credit Card,2297805,64480704.04,26.26440651608518,80.09
Cash,422673,10075493.89,0.0010281065700742447,14.73
Unknown,115171,3052393.61,9.13919110561661,4.01
Dispute,22783,569545.28,0.02959130845380024,0.79
No Charge,10439,232672.05,0.040123149766286136,0.36
